State,Year,Value
Rhode Island,2020,5
Rhode Island,2024,5
South Carolina,2000,1
South Carolina,2004,1
South Carolina,2008,1
South Carolina,2012,2
South Carolina,2016,2
South Carolina,2020,2
South Carolina,2024,2
South Dakota,2000,1
South Dakota,2004,1
South Dakota,2008,1
South Dakota,2012,1
South Dakota,2016,1
South Dakota,2020,1
South Dakota,2024,1
Tennessee,2000,1
Tennessee,2004,1
Tennessee,2008,1
Tennessee,2012,1
Tennessee,2016,1
Tennessee,2020,2
Tennessee,2024,2
Texas,2000,1
Texas,2004,1
Texas,2008,1
Texas,2012,1
Texas,2016,1
Texas,2020,1
Texas,2024,1
Utah,2000,1
Utah,2004,1
Utah,2008,1
Utah,2012,2
Utah,2016,2
Utah,2020,6
Utah,2024,6
Vermont,2000,1
Vermont,2004,1
Vermont,2008,1
Vermont,2012,1
Vermont,2016,2
Vermont,2020,8
Vermont,2024,8
Virginia,2000,1
Virginia,2004,1
Virginia,2008,1
Virginia,2012,1
Virginia,2016,2
Virginia,2020,5
Virginia,2024,8
Washington,2000,1
Washington,2004,1
Washington,2008,2
Washington,2012,2
Washington,2016,2
Washington,2020,8
Washington,2024,8
West Virginia,2000,1
West Virginia,2004,1
West Virginia,2008,1
West Virginia,2012,1
West Virginia,2016,2
West Virginia,2020,2
West Virginia,2024,2
Wisconsin,2000,4
Wisconsin,2004,4
Wisconsin,2008,4
Wisconsin,2012,4
Wisconsin,2016,4
Wisconsin,2020,6
Wisconsin,2024,6
Wyoming,2000,4
Wyoming,2004,4
Wyoming,2008,4
Wyoming,2012,4
Wyoming,2016,4
Wyoming,2020,4
Wyoming,2024,4
